binomial,phylum,class,order,family,genus,Common.name,panth_bodymass_g,panth_metrate_g,panth_maxLong_m,panth_Mat_d,aa_femMat_d,aa_maleMat_d,aa_maxLong_y,aa_maxLong_m,aa_metrate_w,aa_bodymass_g,AA_Data.quality,kup_AdultMass,kup_maxLong_m,AT_bodymass_g,AT_metrate,AT_brain_g,mean_long,State,species
Philantomba maxwellii,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,Maxwell's duiker,8557.69,NA,147,344.87,730,685,18.3,219.6,NA,NA,acceptable,7000,219.6,NA,NA,NA,183.3,NA,Philantomba_maxwellii
Philantomba monticola,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,Blue duiker,4896.05,4200,144,351.59,487,685,15.9,190.8,10.075,4200,acceptable,6250,190.8,NA,NA,NA,167.4,NA,Philantomba_monticola
Philemon citreogularis,Chordata,Aves,Passeriformes,Meliphagidae,Philemon,Little friarbird,NA,NA,NA,NA,NA,NA,10.6,127.2,NA,NA,acceptable,NA,NA,62.2,NA,1.63688,127.2,NA,Philemon_citreogularis
Philemon corniculatus,Chordata,Aves,Passeriformes,Meliphagidae,Philemon,Noisy friarbird,NA,NA,NA,NA,NA,NA,9.8,117.6,NA,NA,acceptable,NA,NA,100,NA,2.05128,117.6,NA,Philemon_corniculatus
Philomachus pugnax,Chordata,Aves,Charadriiformes,Scolopacidae,Philomachus,Ruff,NA,NA,NA,NA,730,730,13.9,166.8,NA,NA,acceptable,136,166.8,NA,NA,NA,166.8,NA,Philomachus_pugnax
Phimosus infuscatus,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,Whispering ibis,NA,NA,NA,NA,NA,NA,20,240,NA,NA,acceptable,559,240,NA,NA,NA,240,NA,Phimosus_infuscatus
Phloeomys cumingi,Chordata,Mammalia,Rodentia,Muridae,Phloeomys,Slender-tailed cloud rat,1842.46,NA,NA,NA,NA,NA,13.6,163.2,NA,NA,acceptable,1750,163.2,NA,NA,NA,163.2,NA,Phloeomys_cumingi
Phloeomys pallidus,Chordata,Mammalia,Rodentia,Muridae,Phloeomys,Northern Luzon slender-tailed cloud rat,1744.14,NA,NA,NA,NA,NA,10.7,128.4,NA,NA,acceptable,1744,128.4,NA,NA,NA,128.4,NA,Phloeomys_pallidus
Phoca largha,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Spotted seal,98879.18,91500,426.13,1497.64,1279,1643,NA,NA,NA,NA,low,NA,NA,NA,NA,253.75,426.13,NA,Phoca_largha
Phoca vitulina,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Harbor seal,87316.66,87316.67,480,1526.85,1095,1460,47.6,571.2,73.29,27400,acceptable,115000,571.2,NA,NA,273.75,525.6,ARR,Phoca_vitulina
Phocoena phocoena,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,Harbor porpoise,52730.93,NA,180,1353.82,1055,1461,20.4,244.8,107.675,28500,acceptable,52500,244.8,NA,NA,NA,212.4,ARR,Phocoena_phocoena
Phocoenoides dalli,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoenoides,Dall's porpoise,106042.53,NA,264,2672.83,1826,2375,22,264,NA,NA,acceptable,120000,264,NA,NA,NA,264,NA,Phocoenoides_dalli
Phodopus campbelli,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,NA,27.06,31.4,21.5,46.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NOC,Phodopus_campbelli
Phodopus roborovskii,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,Desert hamster,NA,NA,NA,21.35,243,NA,4.8,57.6,NA,NA,acceptable,NA,57.6,NA,NA,NA,57.6,NA,Phodopus_roborovskii
Phodopus sungorus,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,Dzhungarian hamster,30.43,35.9,38.4,NA,120,NA,3.9,46.8,0.313,31.3,acceptable,23.4,46.8,NA,NA,NA,42.6,NA,Phodopus_sungorus
Phoebastria immutabilis,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Laysan albatross,NA,NA,NA,NA,3141,3068,70,840,7.462,2522,acceptable,3150,780,2522,7.425888889,NA,840,NA,Phoebastria_immutabilis
Phoebastria irrorata,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Waved albatross,NA,NA,NA,NA,3032,NA,40,480,NA,NA,acceptable,3395,480,NA,NA,NA,480,NA,Phoebastria_irrorata
Phoebastria nigripes,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Black-footed albatross,NA,NA,NA,NA,1825,1825,42.1,505.2,NA,NA,acceptable,2800,505.2,NA,NA,NA,505.2,ARR,Phoebastria_nigripes
Phoebetria palpebrata,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,Light-mantled albatross,NA,NA,NA,NA,4383,NA,28.1,337.2,NA,NA,acceptable,NA,NA,2800,NA,17.54984,337.2,NA,Phoebetria_palpebrata
Phoeniconaias minor,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias,Lesser flamingo,NA,NA,NA,NA,1090,NA,41,492,NA,NA,acceptable,1500,492,1540.5,NA,7.52,492,NA,Phoeniconaias_minor
Phoenicopterus chilensis,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Chilean flamingo,NA,NA,NA,NA,1825,2008,36.7,440.4,NA,NA,acceptable,2277,440.4,NA,NA,NA,440.4,NOC,Phoenicopterus_chilensis
