phylum,class,order,family,genus,species,specificEpithet,sex,sampleSizeValue,body mass,body mass_minimum,body mass_maximum,metabolic rate,metabolic rate_minimum,metabolic rate_maximum,original respiratoryQuotient,original temperature,mass-specific metabolic rate,brain size
Chordata,Aves,Procellariiformes,Procellariidae,Pelecanoides,Pelecanoides urinatrix,urinatrix,,1,0.15,,,,,,,,,0.00175084
Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula minor,minor,,1,1.1,,,,,,,,,0.00762496
Chordata,Aves,Suliformes,Fregatidae,Fregata,Fregata minor,minor,,1,1.44,,,,,,,,,0.00956228
Chordata,Aves,Suliformes,Sulidae,Sula,Sula leucogaster,leucogaster,,1,2.05,,,,,,,,,0.00936544
Chordata,Aves,Suliformes,Anhingidae,Anhinga,Anhinga novaehollandiae,novaehollandiae,,1,1.5,,,,,,,,,0.00472416
Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Microcarbo,Microcarbo melanoleucos,melanoleucos,,1,0.65,,,,,,,,,0.00553224
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax carbo,carbo,,1,2.15,,,,,,,,,0.0108262
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax sulcirostris,sulcirostris,,1,1,,,,,,,,,0.00584304
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax varius,varius,,1,2.2,,,,,,,,,0.00954156
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax fuscescens,fuscescens,,1,1.515,,,,,,,,,0.00921004
Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus conspicillatus,conspicillatus,,1,5.4,,,,,,,,,0.02577568
Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus poiciloptilus,poiciloptilus,,1,1.16,,,,,,,,,0.0060088
Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus dubius,dubius,,1,0.0895,,,,,,,,,0.0017094
Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus flavicollis,flavicollis,,1,0.3665,,,,,,,,,0.0026936
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea pacifica,pacifica,,1,0.91,,,,,,,,,0.00534576
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea modesta,modesta,,1,1.1615,,,,,,,,,0.00522144
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea intermedia intermedia,intermedia intermedia,,1,0.403,,,,,,,,,0.0042994
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea sumatrana,sumatrana,,1,1.95,,,,,,,,,0.00904428
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea ibis,ibis,,1,0.363,,,,,,,,,0.00394716
Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides striata,striata,,1,0.225,,,,,,,,,0.00256928
Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta novaehollandiae,novaehollandiae,,1,0.58,,,,,,,,,0.00405076
Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax caledonicus,caledonicus,,1,0.725,,,,,,,,,0.0057498
Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,Plegadis falcinellus,falcinellus,,1,0.5325,,,,,,,,,0.00530432
Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis molucca,molucca,,1,1.825,,,,,,,,,0.0102564
Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis spinicollis,spinicollis,,1,1.36,,,,,,,,,0.00871276
Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,Platalea regia,regia,,1,1.735,,,,,,,,,0.0118104
Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,Platalea flavipes,flavipes,,1,1.871,,,,,,,,,0.01152032
Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Pandion cristatus,cristatus,,1,1.415,,,,,,,,,0.00971768
Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Elanus axillaris,axillaris,,1,0.2605,,,,,,,,,0.00349132
Chordata,Aves,Accipitriformes,Accipitridae,Lophoictinia,Lophoictinia isura,isura,,1,0.5675,,,,,,,,,0.006734
Chordata,Aves,Accipitriformes,Accipitridae,Hamirostra,Hamirostra melanosternon,melanosternon,,1,1.3,,,,,,,,,0.0107226
Chordata,Aves,Accipitriformes,Accipitridae,Aviceda,Aviceda subcristata,subcristata,,1,0.3535,,,,,,,,,0.0048692
Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucogaster,leucogaster,,1,3.35,,,,,,,,,0.01308468
Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,Haliastur sphenurus,sphenurus,,1,0.775,,,,,,,,,0.00684796
Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,Haliastur indus,indus,,1,0.5835,,,,,,,,,0.0064232
Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans,migrans,,1,0.587,,,,,,,,,0.00602952
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter fasciatus,fasciatus,,1,0.403,,,,,,,,,0.004662
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cirrocephalus,cirrocephalus,,1,0.1825,,,,,,,,,0.00247604
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter novaehollandiae,novaehollandiae,,1,0.515,,,,,,,,,0.00491064
Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus approximans,approximans,,1,0.74,,,,,,,,,0.00567728
