species,panth_bodymass_g,mean_long,Diet,logage,logmass,diet.new
Thylogale_brunii,NA,112.8,?,4.725616339063959,NA,NA
Thylogale_stigmatica,4511.47,116.4,Herbivore,4.757032535297338,8.414378321739388,Herbivore
Thylogale_thetis,5399.95,108,Herbivore,4.68213122712422,8.59414497325024,Herbivore
Tolypeutes_matacus,1303.47,441.6,Carnivore,6.090404494962885,7.172785218148984,Carnivore
Trachypithecus_auratus,9719.6,373.2,?,5.922114468973189,9.181899744344333,NA
Trachypithecus_cristatus,7176.81,356.4,Herbivore,5.876053695596654,8.878610273622767,Herbivore
Trachypithecus_francoisi,8139.93,315.6,?,5.75447558897172,9.00453685945101,NA
Trachypithecus_obscurus,7247.88,353.4,Herbivore,5.867600559885596,8.888464291294367,Herbivore
Trachypithecus_phayrei,7681.72,339.6,Herbivore,5.827768454437193,8.946598759400127,Herbivore
Trachypithecus_pileatus,11219.93,302.4,Herbivore,5.711750644305378,9.325446940198045,Herbivore
Tragelaphus_angasii,87616.76,234,Herbivore,5.455321115357702,11.380727582825255,Herbivore
Tragelaphus_eurycerus,270998.37,248.5,Herbivore,5.5154428455366835,12.509868085083601,Herbivore
Tragelaphus_imberbis,94320.39,232.3,Herbivore,5.4480296397763635,11.454452670062755,Herbivore
